"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 13 03:05:26 IST 2022","Sun Feb 13 03:05:27 IST 2022","952","","Ecommerce Application","","Ecommerce Application","End to End Test","End to End Test",""
"passed","Tue Mar 29 20:40:48 IST 2022","Tue Mar 29 20:41:08 IST 2022","20208","","Ecommerce Application","","Ecommerce Application","End to End Test","End to End Test",""
